ResponseId,7040_1,7040_2,7040_3,10020_1,10020_2,10020_3,5550_1,5550_2,5550_3,9010_1,9010_2,9010_3,State,Gender,D2_2_TEXT,Education,Race,D4_8_TEXT,Community,D5_4_TEXT,Age,Political Affiliation,D7_5_TEXT
R_20SdH3BBv3aNaf5,,,,6.4,5.9,6.5,,,,,,,Illinois,Female,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,23,Democratic party,
R_1FCy5aZ2uvwqqnT,,,,,,,,,,2.1,4,7,Georgia,Female,,Graduate degree,White,,City or urban community,,64,Democratic party,
R_2fa4QD6CGe6JAmr,,,,,,,2,9,8.2,,,,North Carolina,Male,,"High school degree or equivalent (e.g., GED)",Black or African-American,,City or urban community,,34,Other (please specify):,No political affiliation
R_3PBl6MN8eJXrt0f,1,9,6.8,,,,,,,,,,Florida,Female,,Some college but no degree,White,,City or urban community,,27,Democratic party,
R_T01Y4clB9C1Li25,,,,,,,,,,1,3.6,9,Montana,Female,,Some college but no degree,White,,Suburban community,,53,Independent,
R_PB380HedRex4EZb,,,,,,,1,9,2.5,,,,Wisconsin,Male,,Bachelor degree,White,,Suburban community,,40,Republican Party,
R_9vM08hFPMWNNiSZ,,,,9,2.7,9,,,,,,,Alabama,Male,,Bachelor degree,White,,Suburban community,,37,Republican Party,
R_tXm5NsX9aDRm06J,9,9,9,,,,,,,,,,Michigan,Male,,Bachelor degree,White,,Rural community,,58,Independent,
R_xGf2RkC4IneZ6WB,,,,,,,6.6,6.1,3.5,,,,MA,Female,,Some college but no degree,"Spanish, Hispanic, or Latino",,Suburban community,,20,Democratic party,
R_41OeoMfPY2ae7bH,,,,1,9,1,,,,,,,OH,Female,,Bachelor degree,"Spanish, Hispanic, or Latino",,Suburban community,,59,Independent,
R_3JC0PBiChjBYQVb,,,,,,,,,,2.8,4.8,7.9,VA,Male,,Bachelor degree,Asian,,Suburban community,,22,Democratic party,
R_1ifyG4DbvehSwWp,,,,4.7,9,8.7,,,,,,,Oklahoma,Male,,Graduate degree,White,,Rural community,,67,Independent,
R_3nASG4fQbZgGBBz,1,5,6,,,,,,,,,,new mexico,Female,,Bachelor degree,"Spanish, Hispanic, or Latino",,Suburban community,,31,Independent,
R_12a0IpLFlXFQhgG,,,,,,,2.9,9,7.6,,,,Pennsylvania,Female,,Bachelor degree,White,,Rural community,,45,Democratic party,
R_xrRW4zEhfjUS0vL,,,,,,,,,,8,3,9,Virginia,Female,,Bachelor degree,White,,Rural community,,30,Republican Party,
R_2Sx0mcrkOIkP4cD,,,,,,,,,,2.8,7.7,6.5,Montana,Female,,Bachelor degree,White,,City or urban community,,34,Republican Party,
R_1IDZ1sB4WJuqi2A,,,,6.9,9,6.5,,,,,,,INDIANA,Female,,Associate degree,White,,City or urban community,,70,Independent,
R_2TN96MzoGF3l1Ar,,,,,,,4,8.5,7,,,,NY,Male,,Some college but no degree,White,,Rural community,,42,Independent,
R_9G1oT6ycwgEhgK5,6,8,9,,,,,,,,,,colorado,Male,,Bachelor degree,White,,Suburban community,,49,Independent,
R_1LB8s0utrDDAX42,9,9,9,,,,,,,,,,Illinois,Male,,Graduate degree,Black or African-American,,City or urban community,,30,Democratic party,
R_R5gbH0gWBC4fifL,,,,,,,3.2,6.1,8.1,,,,Wyoming,Female,,Bachelor degree,White,,Rural community,,57,Democratic party,
R_ZBNQ9zhKkzVe6Y1,,,,,,,8.3,2.6,8,,,,North Carolina,Female,,Some college but no degree,White,,Suburban community,,25,Republican Party,
R_1GxfVbXAnYr2fdi,,,,,,,,,,7,7,8.5,Pennsylvania,Female,,Less than high school degree,"Spanish, Hispanic, or Latino",,Suburban community,,23,Independent,
R_3R8VimddkLEwlzQ,1,9,4.9,,,,,,,,,,Ohio,Female,,Associate degree,White,,Suburban community,,24,Democratic party,
R_RF61S7BMSREhAsN,,,,9,1,9,,,,,,,Colorado,Male,,Graduate degree,White,,Rural community,,37,"Republican Party,Independent",
R_1mkKXYSgOu1DvwR,,,,5,6.1,9,,,,,,,NY,Male,,Associate degree,White,,Rural community,,30,Independent,
R_VVw6jvkhyaRgA9j,,,,,,,,,,2.6,2.8,2.9,florida,Male,,Bachelor degree,White,,Suburban community,,38,Independent,
R_33e7nBxhOojbYMl,,,,,,,4,6.2,6.4,,,,NV,Female,,Some college but no degree,White,,Suburban community,,23,Democratic party,
R_b4t7arhTsu56OYN,,,,,,,2,2.9,8,,,,Illinois,Male,,Associate degree,White,,City or urban community,,34,Democratic party,
R_20Vzr82kqWl7iyJ,,,,,,,,,,5.6,3.7,8.5,Pennsylvania,Female,,Bachelor degree,White,,Suburban community,,53,Democratic party,
R_3D7m62c2z6iHXQg,,,,,,,,,,7.2,5.5,6.2,ca,Male,,Associate degree,White,,City or urban community,,29,Republican Party,
R_1Lb693aEDda65wh,,,,5.8,5.9,4.5,,,,,,,AL,Male,,Bachelor degree,Black or African-American,,City or urban community,,33,Democratic party,
R_1E0R8DgVbYCmja2,,,,2.4,5.1,4.3,,,,,,,North Carolina,Male,,Bachelor degree,White,,Rural community,,38,Independent,
R_2RPyO1wu07TIsQs,1,9,6,,,,,,,,,,Wisconsin,Female,,Some college but no degree,Asian,,Suburban community,,46,Republican Party,
R_snUP7YWE9EopNvz,1,9,3.1,,,,,,,,,,Wisconsin,Female,,Some college but no degree,White,,Suburban community,,31,Democratic party,
R_27lqRBq8VVX7khA,,,,,,,,,,5.1,5.1,5.1,ca,Male,,Some college but no degree,White,,City or urban community,,22,Democratic party,
R_PtvQaIhA62RfVGV,,,,,,,1.9,4.4,8.3,,,,GA,Female,,Bachelor degree,White,,Suburban community,,40,Independent,
R_3exa3flNrdimRA2,1,9,7.2,,,,,,,,,,Minnesota,Male,,Bachelor degree,White,,City or urban community,,21,Independent,
R_1LuuWxuTyd1FXhh,3,4,8.3,,,,,,,,,,North Carolina,Male,,Bachelor degree,White,,Rural community,,62,Democratic party,
R_3CUySCiCfRColi5,,,,,,,,,,5.6,7.9,9,IL,Female,,Bachelor degree,White,,Rural community,,25,Republican Party,
R_BM3PqMXWsxDTLW1,,,,5.1,5.1,5.1,,,,,,,fl,Female,,Bachelor degree,White,,City or urban community,,24,Libertarian Party,
R_2qsyPAtLEsZ6md4,,,,1,9,1,,,,,,,California,Female,,Bachelor degree,Asian,,City or urban community,,40,Democratic party,
R_1DCQ2cHA7Qbj5zI,,,,,,,6.4,8.3,3.6,,,,Virginia,Female,,Graduate degree,White,,Suburban community,,31,Democratic party,
R_9t5hHEvCEhzmiQx,,,,,,,,,,1.2,7.6,2.6,Pennsylvania,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,24,Libertarian Party,
R_1LhYXuHauUtkxrq,,,,,,,1,9,5,,,,ca,Female,,Bachelor degree,White,,City or urban community,,26,Democratic party,
R_2bZUoUXrsAD70f6,,,,5,7.6,5.1,,,,,,,New York,Male,,Bachelor degree,Asian,,City or urban community,,38,Republican Party,
R_24HtibLC3TAdOXe,,,,,,,5,8.8,8.8,,,,California,Male,,Associate degree,White,,Rural community,,42,Independent,
R_9N6yf01JYQWWYYp,,,,7.8,2.9,8.9,,,,,,,NC,Female,,Graduate degree,White,,Suburban community,,31,Democratic party,
R_1f1JyhLietZp1FD,,,,,,,,,,1,9,1,CO,Male,,Graduate degree,White,,City or urban community,,76,Independent,
R_3sso32fdV64yGy6,4.3,6.2,6.2,,,,,,,,,,NJ,Male,,Graduate degree,White,,Rural community,,31,Republican Party,
R_3I0OrfPzVVaUBYa,8.2,2.9,2,,,,,,,,,,Maryland,Female,,Bachelor degree,White,,Suburban community,,56,Democratic party,
R_0rfr90AZnTUJEhH,5.9,5.9,5.9,,,,,,,,,,texas,Female,,Bachelor degree,White,,Suburban community,,25,Democratic party,
R_5o8tra0BEQBHtgl,,,,,,,3.1,6.9,8,,,,Arkansas,Female,,Graduate degree,White,,Rural community,,47,Democratic party,
R_2zGFnOvCNOFRvTq,,,,,,,,,,9,1,8.6,Texas,Female,,Bachelor degree,White,,City or urban community,,24,Libertarian Party,
R_RwXdSHinWrQJaMx,5.2,4.9,4.7,,,,,,,,,,Ohio,Male,,Graduate degree,White,,Suburban community,,38,Independent,
R_3hsvn9cl9frbQcG,,,,,,,,,,1.5,5,7,Delaware,Male,,Graduate degree,White,,Suburban community,,29,Democratic party,
R_3MbroLHeA2e1QIa,,,,,,,1.2,9,8.5,,,,WV,Male,,Some college but no degree,White,,Suburban community,,46,Republican Party,
R_1Ijew96djrT41RN,,,,7.9,4,6,,,,,,,ohio,Female,,Bachelor degree,White,,Rural community,,27,Democratic party,
R_9uHUqwhkGdhxUaJ,,,,1,9,1,,,,,,,Michigan,Female,,Some college but no degree,White,,Suburban community,,27,Republican Party,
R_2wQUXsmYWegjOPH,,,,,,,,,,9,3,9,Texas,Female,,Some college but no degree,"Spanish, Hispanic, or Latino",,Suburban community,,52,Democratic party,
R_3n8gsJzuyrezhhX,,,,1.9,5.1,2.2,,,,,,,Louisiana,Female,,Some college but no degree,White,,Suburban community,,40,Independent,
R_3HpQnkLWCk0pKo7,2.2,8.9,7.2,,,,,,,,,,Illinois,Male,,Graduate degree,White,,Suburban community,,33,Democratic party,
R_02oCg7pgxmXw2BP,,,,,,,1,5.1,1,,,,colorado,Male,,Bachelor degree,White,,Suburban community,,45,Democratic party,
R_2dzN33OFMKSzoFL,5.1,6.4,4.7,,,,,,,,,,texas,Female,,Bachelor degree,Black or African-American,,Suburban community,,22,Democratic party,
R_XTcp0lVoGRu0MRb,,,,,,,1,7,9,,,,Colorado,Male,,Associate degree,White,,City or urban community,,47,Independent,
R_2wTPjfTa9l2Beiv,,,,,,,,,,1,9,1,,,,Some college but no degree,White,,City or urban community,,50,Republican Party,
R_3HY3cnnLLhmQeMo,,,,,,,,,,2.6,1.5,2.8,new york,Male,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,36,Independent,
R_0wkuS3g8nOAfEmB,,,,8.5,1.5,9,,,,,,,California,Male,,Bachelor degree,Asian,,City or urban community,,41,Democratic party,
R_1GN8hc2aTxJmdnw,,,,,,,5.6,6.4,4.2,,,,Texas,Male,,Associate degree,Asian,,Suburban community,,34,Republican Party,
R_1FtuKUgXYwj4NHP,,,,,,,,,,1,9,5.1,MICHIGAN,Male,,"High school degree or equivalent (e.g., GED)","White,Black or African-American",,City or urban community,,27,Independent,
R_3fCexm1QVrt1Q1h,1,9,4,,,,,,,,,,Nevada,Female,,Some college but no degree,White,,Rural community,,31,Independent,
R_1IXD8HPjs8dmoQU,,,,,,,6.2,3.9,3.6,,,,California,Male,,Some college but no degree,White,,Suburban community,,31,Democratic party,
R_1o5wFFBt7KHFPhe,7,4,8.5,,,,,,,,,,California,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,Suburban community,,27,Independent,
R_12ovxftv64HUJWj,,,,1,1,9,,,,,,,AR,Female,,Some college but no degree,White,,Rural community,,69,Republican Party,
R_ApzbjnmCXLk8Gk1,,,,3,9,5,,,,,,,Texas,Male,,Bachelor degree,White,,Suburban community,,71,Independent,
R_D2XewhoQt37IIfv,,,,,,,,,,3,8.4,4,california,Male,,Graduate degree,Asian,,Suburban community,,30,Democratic party,
R_2s4uWZHBq71w6v6,,,,,,,1,8.1,9,,,,pennsylvania,Female,,Some college but no degree,White,,Suburban community,,23,Democratic party,
R_2s75CcY5ruIhwfv,7.2,3.7,9,,,,,,,,,,Minnesota,Female,,Bachelor degree,White,,Rural community,,23,Republican Party,
R_2yd3FMjPjKGTuaV,,,,,,,,,,8.3,2.5,8.3,ohio,Female,,Bachelor degree,White,,Suburban community,,37,Republican Party,
R_1OZkfO6oscydect,,,,1,1,9,,,,,,,AR,Male,,Some college but no degree,White,,Rural community,,28,Democratic party,
R_UFTab63Xrl4LiI9,,,,,,,1,9,2,,,,Indiana,Female,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,54,Independent,
R_1PSj55C3LHHo3PS,2.7,5.1,3.6,,,,,,,,,,Florida,Male,,"High school degree or equivalent (e.g., GED)","White,Black or African-American,Other (please specify):",Mixed Race (White & Black),Suburban community,,27,Republican Party,
R_uxMOPmBB8irDkXf,,,,,,,,,,6.3,3.2,1.9,nv,Female,,Some college but no degree,White,,City or urban community,,36,Libertarian Party,
R_20TN13X2PmeXN4s,,,,,,,6.1,4,8,,,,Virginia,Female,,Bachelor degree,White,,Suburban community,,49,Democratic party,
R_cI9ArWnrClJuv2F,,,,,,,1,8.5,9,,,,Tennessee,Male,,Associate degree,White,,Rural community,,35,Other (please specify):,none
R_2pXqrs3S7qlZAWy,,,,,,,,,,9,9,9,Wisconsin,Female,,Bachelor degree,White,,Suburban community,,59,Democratic party,
R_10ZB6z2FSvKn5E6,1,9,4.5,,,,,,,,,,New JERSEY,Female,,"High school degree or equivalent (e.g., GED)",Black or African-American,,Suburban community,,47,Democratic party,
R_2WSBqmOtZhxiFGG,,,,7,3.5,8,,,,,,,Alaska,Male,,Bachelor degree,White,,Rural community,,30,Republican Party,
R_3kvM8n8x94ECVZX,3.9,6.5,9,,,,,,,,,,IN,Male,,Bachelor degree,White,,Suburban community,,32,Independent,
R_xh0XJqLYbMkUpUJ,,,,9,7.5,3.9,,,,,,,Florida,Female,,Associate degree,White,,Suburban community,,61,Independent,
R_3ewwWnTsbqLbWS6,,,,9,9,2.2,,,,,,,Texas,Male,,Some college but no degree,"Spanish, Hispanic, or Latino",,City or urban community,,32,Democratic party,
R_1IQsSpdajEfVQni,,,,1,3.6,8.6,,,,,,,Indiana,Male,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,34,Independent,
R_3kttQEm8Vcis1hp,,,,,,,,,,8,3,9,California,Male,,Some college but no degree,Asian,,Suburban community,,31,Democratic party,
R_SOuqrbIrVVaCdWh,,,,,,,6,8.2,9,,,,California,Male,,Bachelor degree,Asian-American,,Suburban community,,34,Democratic party,
R_290yXic6rCUcbWt,,,,,,,9,2.3,6.6,,,,Kansas,Female,,Some college but no degree,White,,Rural community,,25,Republican Party,
R_2YsRxsi7xRhslNA,3.8,4.9,5.1,,,,,,,,,,utah,Female,,Bachelor degree,Black or African-American,,Suburban community,,21,Independent,
R_riGSn9lbg8oejTP,,,,1,9,5.1,,,,,,,FLORIDA,Male,,Bachelor degree,Black or African-American,,City or urban community,,33,Republican Party,
R_302hex1qFfHqKSL,7.2,4.2,9,,,,,,,,,,North Carolina,Female,,Some college but no degree,White,,Rural community,,24,Independent,
R_2CTdowEbnh7Fk9q,3.9,9,7.1,,,,,,,,,,Illinois,Female,,Some college but no degree,Black or African-American,,Suburban community,,57,Democratic party,
R_2y8vdHXF51Cr4pT,,,,,,,4.5,5.6,6.8,,,,new york,Male,,Associate degree,White,,City or urban community,,26,Republican Party,
R_3rZkbYhOzOwfcgr,,,,,,,2,6.2,7.5,,,,New York,Female,,Bachelor degree,Black or African-American,,City or urban community,,28,Democratic party,
R_WkwmXwbDwOPHZq9,,,,7.3,2.6,8,,,,,,,Texas,Female,,Some college but no degree,White,,Suburban community,,31,Republican Party,
R_UintiaP04J36Jq1,1,3,9,,,,,,,,,,NY,Male,,Some college but no degree,White,,Suburban community,,19,Democratic party,
R_2U5x8rGvikmnrjd,6.2,3.9,6.3,,,,,,,,,,Va,Male,,Associate degree,Black or African-American,,Suburban community,,29,Democratic party,
R_U9JMKWk7oYLyMYV,,,,,,,,,,1.1,8,4.3,Missouri,Female,,Some college but no degree,White,,Rural community,,34,Democratic party,
R_2waz4IwAELxqJEs,,,,,,,,,,1,9,1,Mass,Male,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,20,Independent,
R_3fe1waAvrQlo5An,,,,,,,,,,1,2,8,texas,Male,,Bachelor degree,Asian,,City or urban community,,25,Democratic party,
R_0pqKM70b7cS9elX,,,,7,2.9,3.5,,,,,,,California,Female,,Some college but no degree,White,,Suburban community,,59,Democratic party,
R_1jxplPfXtkTfXEk,,,,,,,6.2,5.5,9,,,,Pennsylvania,Female,,Some college but no degree,White,,Rural community,,21,Democratic party,
R_3qP7VnvRRmh684q,,,,3.1,4,7,,,,,,,California,Male,,Bachelor degree,Asian-American,,Suburban community,,33,Independent,
R_29jed8utTowPWjW,1,5,1,,,,,,,,,,Texas,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,Suburban community,,23,Independent,
R_AgMDPH8QjgC8qcN,,,,,,,,,,9,1.7,9,New York,Male,,Some college but no degree,White,,Suburban community,,26,Democratic party,
R_Uyf70ACjhjfDhND,,,,,,,1,9,9,,,,Washington,Female,,Associate degree,White,,Rural community,,37,Democratic party,
R_3fOu7suE6rJRFlN,,,,,,,,,,7,1,1,Arkansas,Male,,Associate degree,White,,Suburban community,,69,Independent,
R_2Po2ZVntCnjMpA5,,,,6.5,4.5,6.3,,,,,,,Oregon,Male,,Some college but no degree,"White,Asian",,City or urban community,,21,Green Party,
R_3pr9ESw3xmtgx8s,,,,,,,1,8,9,,,,Alabama,Female,,Some college but no degree,Black or African-American,,Suburban community,,46,Democratic party,
R_2Y2NrvTLmhfM43W,1,9,4.1,,,,,,,,,,Florida,Female,,Some college but no degree,White,,Suburban community,,43,Democratic party,
R_2R7INLwGmpVm93c,1,5,9,,,,,,,,,,NC,Female,,Bachelor degree,White,,Suburban community,,33,Libertarian Party,
R_12fN9rHs3OlT2m1,,,,,,,,,,1.1,1.1,4.3,connecticut,Male,,Associate degree,Asian,,City or urban community,,25,Democratic party,
R_86yMFof2WAljaXT,,,,,,,3,4.9,7.4,,,,Texas,Male,,Some college but no degree,"Spanish, Hispanic, or Latino",,City or urban community,,26,Independent,
R_ABDnd5uQXwMEiDD,,,,,,,,,,3,4,7,Pa,Female,,Associate degree,White,,Rural community,,29,Democratic party,
R_1IsLXPEnLELjHBG,,,,,,,1.9,1.9,9,,,,MISSISSIPPI,Female,,Bachelor degree,White,,Rural community,,34,Republican Party,
R_Aaf5QidEGUP98fT,,,,4.5,1.9,6,,,,,,,Tennessee,Female,,Some college but no degree,Black or African-American,,Suburban community,,29,Democratic party,
R_1ePqRhQ4xHJPF8j,2.1,3,6,,,,,,,,,,Colorado,Male,,Some college but no degree,White,,Suburban community,,19,Republican Party,
R_bdzIVof2B3Rirm1,,,,9,2,3,,,,,,,Washington,Male,,Bachelor degree,White,,Suburban community,,33,Independent,
R_10q6dHmgNG4Igfm,,,,,,,9,9,4.2,,,,Oregon,Male,,Some college but no degree,Asian-American,,Rural community,,21,Democratic party,
R_2ZPU0qKl36SjKCf,,,,5,9,1,,,,,,,Iowa,Female,,Some college but no degree,White,,Rural community,,22,Republican Party,
R_3gOu5j1ZOwv8yoX,,,,,,,,,,8.6,1,9,MD,Male,,Graduate degree,"Spanish, Hispanic, or Latino",,Suburban community,,42,Libertarian Party,
R_2ylT0Z1NRpbicLa,6.3,5.5,9,,,,,,,,,,california,Male,,Bachelor degree,White,,Rural community,,54,Democratic party,
R_2yknWoyCsC93wMF,5,5,5,,,,,,,,,,Delaware,Male,,Graduate degree,White,,Suburban community,,55,Republican Party,
R_11WL1YEPcdWMJRk,,,,9,3,3.4,,,,,,,Geogia,Male,,Some college but no degree,White,,City or urban community,,57,Independent,
R_ZlyIUxdUfq4od0J,,,,,,,7.8,7.9,7.9,,,,Ny,Male,,Graduate degree,Black or African-American,,Suburban community,,22,Democratic party,
R_3O0VBDb6FRmHwNs,,,,,,,,,,6.1,6,6,Illinois,Male,,Bachelor degree,White,,Rural community,,35,Independent,
R_1eQRnF1snPIy4DB,,,,,,,1,9,9,,,,California,Female,,Some college but no degree,White,,Suburban community,,61,Democratic party,
R_YbQjgayHV794UKd,1.8,2.2,7.5,,,,,,,,,,Oklahoma,Male,,Bachelor degree,White,,Suburban community,,28,Republican Party,
R_1nOMTiKvpV6iVHq,,,,2.1,8.2,3.5,,,,,,,Nevada,Female,,Some college but no degree,Asian,,Suburban community,,26,"Democratic party,Independent",
R_2CfGDj81omhj15I,1,9,1,,,,,,,,,,Nevada,Female,,Some college but no degree,White,,City or urban community,,25,Independent,
R_1gzMqkW3Gmal6pD,,,,,,,1,8.3,9,,,,Louisiana,Male,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,30,Independent,
R_1pFJlnVUdWsi5Pp,,,,,,,,,,1,6,8.1,TX,Female,,Graduate degree,Other (please specify):,N/A,City or urban community,,25,Independent,
R_2fJQfMNNvBjNNeC,,,,7.9,4.1,5.4,,,,,,,ohio,Male,,Graduate degree,White,,City or urban community,,53,Republican Party,
R_ebp1NNgftsNjzJT,,,,1,8,3,,,,,,,nc,Male,,Bachelor degree,White,,Suburban community,,35,Republican Party,
R_2SAjbsk1jRQuZ6c,,,,,,,,,,1,8,7,Ohio,Female,,Bachelor degree,White,,Suburban community,,39,Republican Party,
R_1OUdB4APLFFNwv9,,,,,,,1.1,5.2,1,,,,Nh,Male,,Associate degree,"Spanish, Hispanic, or Latino,White",,Suburban community,,27,Independent,
R_1FeP1JRQ2Hv9jV6,,,,,,,,,,4,6,6,Ma,Female,,Bachelor degree,White,,Suburban community,,35,Democratic party,
R_3w87TLFwf55YDxT,1,2,6.6,,,,,,,,,,Arkansas,Male,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,36,Republican Party,
R_3KZ6sEYGf93Gc3r,,,,1.5,5.8,8.5,,,,,,,NORTH CAROLINA,Male,,Bachelor degree,White,,Suburban community,,40,Republican Party,
R_2CPLnzxvHdiIZJ9,,,,9,1,1,,,,,,,Mo,Female,,Associate degree,White,,Rural community,,34,Independent,
R_qwFjCOxO2c5ewRH,,,,,,,1.3,9,6.9,,,,nj,Female,,Associate degree,White,,Rural community,,58,Democratic party,
R_2SepDMPa4Avxo6M,,,,,,,,,,7.9,2.7,5,Missouri,Female,,Some college but no degree,White,,Rural community,,45,Independent,
R_SJ1nsdYDrB4Dlqp,1.3,9,1,,,,,,,,,,FL,Male,,Some college but no degree,Black or African-American,,City or urban community,,31,Independent,
R_1FPuc0dLXk2m9oD,,,,,,,,,,1.8,4.4,3.4,KY,Male,,Some college but no degree,White,,Suburban community,,33,Republican Party,
R_1r6837pRcFVwHjK,,,,,,,8,5.8,7.2,,,,MI,Male,,Bachelor degree,White,,Rural community,,22,Independent,
R_1mf1VanvNZqALun,3.8,4.2,8.5,,,,,,,,,,Tennessee,Female,,Bachelor degree,White,,City or urban community,,27,"Democratic party,Republican Party",
R_211xKpanepaVb3O,1,8,8,,,,,,,,,,Ohio,Male,,Some college but no degree,White,,Suburban community,,35,Democratic party,
R_xhfBLTS0bLCjRst,,,,1,1,9,,,,,,,LA,Female,,"High school degree or equivalent (e.g., GED)",Black or African-American,,City or urban community,,31,Independent,
R_1oo4NVPedmjTHzS,,,,,,,,,,3.5,8.1,7,Virginia,Female,,Graduate degree,White,,Suburban community,,42,Democratic party,
R_3gYELW9YY2yUH7o,,,,,,,8,4,6,,,,PA,Male,,Associate degree,White,,City or urban community,,61,Democratic party,
R_3n2cPPg3k3SwcOZ,5,5,5,,,,,,,,,,ca,Female,,Some college but no degree,Black or African-American,,City or urban community,,39,Democratic party,
R_UazfBncaM0bwkTf,,,,,,,3,7.7,8.1,,,,california,Male,,Graduate degree,Asian,,Suburban community,,62,Independent,
R_1HbiwYvNTzhNrCH,,,,4.3,5.1,8.2,,,,,,,Michigan,Male,,Some college but no degree,White,,Rural community,,18,Democratic party,
R_2VxLm1pTzMRHwSR,,,,,,,,,,1.8,8,3,Massachusetts,Male,,Bachelor degree,Black or African-American,,City or urban community,,58,Independent,
R_2WOqfyGhHmBgPCc,1,7.9,3.8,,,,,,,,,,texas,Male,,Some college but no degree,White,,City or urban community,,52,Independent,
R_272yjGoUtAA5IQQ,,,,5.1,6,7,,,,,,,Connecticut,Male,,Graduate degree,White,,Rural community,,24,Democratic party,
R_22EXn2U3DjDFu0d,,,,,,,,,,5.1,1,3.9,arkansas,Male,,Some college but no degree,Black or African-American,,City or urban community,,43,Independent,
R_2PvU3oJn3Dd7zZX,,,,,,,1.2,1.9,1.1,,,,NY,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,65,Libertarian Party,
R_28GLLPiAlMfEOWk,,,,,,,,,,2.3,5,3,California,Female,,Bachelor degree,Asian,,Suburban community,,25,Democratic party,
R_3r26ZyjyRKDgZTX,,,,9,1,1,,,,,,,INDIANA,Male,,Bachelor degree,Black or African-American,,Suburban community,,32,Democratic party,
R_3RrtLluQXHFq5ji,1.1,9,1,,,,,,,,,,Colorado,Female,,Some college but no degree,White,,Suburban community,,25,Independent,
R_1DvzReXBtuLcEYw,,,,,,,5.5,6,7,,,,Louisiana,Male,,Graduate degree,White,,Rural community,,29,Independent,
R_3G7E3YY0GxIdCyP,,,,,,,,,,2.5,3.2,8.1,Virginia,Female,,Some college but no degree,White,,City or urban community,,37,Libertarian Party,
R_2TTusn1rauKgNlI,,,,,,,1,9,1,,,,California,Female,,Bachelor degree,"Spanish, Hispanic, or Latino",,Suburban community,,22,Democratic party,
R_324P5SQNvMJU6ac,7,6,5.5,,,,,,,,,,Louisiana,Male,,Graduate degree,White,,Rural community,,29,Independent,
R_3fCrVCYppyNbxcz,,,,1.7,3.9,3.7,,,,,,,Pennsylvania,Male,,Some college but no degree,Black or African-American,,City or urban community,,22,Independent,
R_22zwvSKoyDmVCXp,,,,9,9,9,,,,,,,Arizona,Male,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,28,Republican Party,
R_4TqFgLVVDE36bwR,,,,,,,,,,3.9,1.8,9,il,Male,,Bachelor degree,White,,Suburban community,,43,Democratic party,
R_DfcUzahFRVOABG1,,,,,,,1.7,5.1,8.9,,,,Texas,Female,,Graduate degree,White,,Suburban community,,54,Republican Party,
R_30vsjjefHb3JCjD,4.6,5.1,8.1,,,,,,,,,,Texas,Female,,Some college but no degree,White,,Suburban community,,19,Green Party,
R_25GcsD4gLtQxB44,,,,,,,2.8,8.8,8.9,,,,Indiana,Female,,Graduate degree,White,,Suburban community,,36,Democratic party,
R_1Oq23HYWRUqkon9,2,5.2,5.1,,,,,,,,,,Florida,Male,,Some college but no degree,White,,Suburban community,,22,Democratic party,
R_3DqH5r5ipwtP2lW,,,,9,5.8,8,,,,,,,PA,Female,,Bachelor degree,White,,City or urban community,,24,Democratic party,
R_2fIHDdb77JebozE,,,,,,,,,,4,3,9,Idaho,Female,,Bachelor degree,White,,Suburban community,,24,Democratic party,
R_2e8YjWeXNTrlRO0,,,,8.2,6.1,7,,,,,,,Texas,Male,,Bachelor degree,Black or African-American,,City or urban community,,25,Democratic party,
R_23UhlXwi1V02NhU,,,,,,,,,,4,6.1,7.1,Massachussetts,Female,,Bachelor degree,White,,Suburban community,,55,Democratic party,
R_3lGgSQHzVvc7NTw,1,9,3.1,,,,,,,,,,Florida,Female,,Bachelor degree,White,,City or urban community,,30,Democratic party,
R_1CkHkrtiFNovOeB,1.9,2.9,7.2,,,,,,,,,,Maryland,Male,,Graduate degree,White,,City or urban community,,31,Democratic party,
R_3KvTBc9sMfCcOpj,,,,3.7,9,9,,,,,,,Indiana,Female,,Bachelor degree,White,,Rural community,,50,Republican Party,
R_1Ks9oApnMfo6WRO,,,,,,,5.1,7.7,5.2,,,,TN,Male,,Bachelor degree,White,,Suburban community,,30,Independent,
R_2eRp6YHaQU8tkzz,,,,,,,3,6.3,7.1,,,,NY,Male,,Some college but no degree,White,,Suburban community,,46,Independent,
R_oXp2mM4tqzfBbIB,,,,,,,,,,2,6,4,NJ,Male,,Graduate degree,White,,Suburban community,,35,Independent,
R_3DbSzY3uaAN1wJn,,,,,,,,,,5.6,3.9,5.7,california,Male,,Associate degree,White,,City or urban community,,25,Independent,
R_1MSpf4uoShb8vfQ,,,,5,4,9,,,,,,,Tennessee,Female,,Some college but no degree,White,,Suburban community,,27,Independent,
