ResponseId,7040_1,7040_2,7040_3,10020_1,10020_2,10020_3,5550_1,5550_2,5550_3,9010_1,9010_2,9010_3,State,Gender,D2_2_TEXT,Education,Race,D4_8_TEXT,Community,D5_4_TEXT,D6,D7,D7_5_TEXT
R_SJLLU0VFGYYmIBH,,,,,,,,,,2,8,8,Texas,Male,,Some college but no degree,White,,Suburban community,,33,Independent,
R_1fjBQMZKvlyKLfl,7,8.7,8.8,,,,,,,,,,MA,Male,,Bachelor degree,"Asian,Asian-American",,Suburban community,,36,Independent,
R_3CVOpsJtmuJfPl3,,,,,,,,,,2.4,4,5.7,GA,Female,,Some college but no degree,White,,Suburban community,,50,Independent,
R_2ZEy7Bkolz5tz5w,9,2,2,,,,,,,,,,California,Male,,Graduate degree,White,,Suburban community,,56,Libertarian Party,
R_3GlYxNt0YaqP3Nd,,,,,,,3.8,6.1,5.7,,,,michigan,Female,,Some college but no degree,White,,Suburban community,,47,Democratic party,
R_3KCKotcUGeMHfLR,,,,,,,,,,1,9,1,flORIDA,Male,,Associate degree,"Spanish, Hispanic, or Latino",,City or urban community,,67,Republican Party,
R_1jPorjdxDTdx2m1,,,,1,9,1,,,,,,,Oregon,Female,,Bachelor degree,White,,Suburban community,,27,Independent,
R_2rj4oHkXKrTXqLg,,,,9,5,9,,,,,,,Kentucky,Female,,Some college but no degree,White,,Rural community,,36,Republican Party,
R_2y9IkEQd8arqRoZ,7.1,5.9,9,,,,,,,,,,Utah,Female,,Some college but no degree,White,,Suburban community,,50,Democratic party,
R_1gI82sDNKOq8GRO,,,,,,,9,2.5,8.5,,,,New York,Male,,Bachelor degree,White,,Suburban community,,25,Republican Party,
R_Y3VyTp0aBHamVfb,,,,,,,1,4.7,9,,,,MI,Female,,Bachelor degree,White,,City or urban community,,55,Democratic party,
R_YX0CUmAdxDkUYkV,,,,,,,,,,2.7,8,2.2,Wisconsin,Male,,Some college but no degree,White,,City or urban community,,26,Independent,
R_3kdKVZNgxBT8Oc5,,,,,,,7,5.1,8.2,,,,Florida,Female,,Bachelor degree,White,,Suburban community,,40,Republican Party,
R_3imy3vsQqyh7r69,1,9,2.4,,,,,,,,,,Minnesota,Male,,Bachelor degree,White,,City or urban community,,25,Democratic party,
R_2cCN1AN4on83nDD,,,,9,1,5.2,,,,,,,Illinois,Female,,Bachelor degree,White,,Rural community,,34,Democratic party,
R_3Kv9ssSKZ9eybWQ,,,,8.5,2,7,,,,,,,,Male,,Bachelor degree,"White,Asian-American",,Suburban community,,24,Independent,
R_PG7FDcvtCtiaOXv,7,8,8,,,,,,,,,,Maryland,Male,,Some college but no degree,White,,Rural community,,20,Independent,
R_08HtzpL2rw7SUVP,,,,,,,,,,1,9,1,FL,Female,,Some college but no degree,White,,Suburban community,,24,Democratic party,
R_1n3KZWbANfRVB6y,,,,,,,4.4,5.4,4,,,,ohio,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,31,Democratic party,
R_1MPXnlHOUidm4Oe,,,,8.2,3,5,,,,,,,Florida,Male,,Associate degree,White,,Suburban community,,59,Independent,
R_ZEp7YS26WpXP6IF,,,,,,,,,,8,9,6.1,Ohio,Female,,Associate degree,White,,Suburban community,,45,Republican Party,
R_3Ny9wi84zFfEFOz,6.3,4,9,,,,,,,,,,TX,Female,,Bachelor degree,White,,Suburban community,,27,Democratic party,
R_3EGXrfEfLpMtwme,,,,,,,,,,1.2,1.7,2,Wyoming,Female,,Some college but no degree,White,,Rural community,,50,Republican Party,
R_2wc9IwWWKKpWM4A,,,,,,,4.1,7.9,9,,,,California,Male,,Graduate degree,Asian,,Suburban community,,31,Democratic party,
R_1I4XQENPKyJUU0w,9,2.9,2.9,,,,,,,,,,louisiana,Male,,Bachelor degree,White,,Suburban community,,27,Independent,
R_1GQ6I6Tcq8zdXce,,,,6.5,7.1,6.5,,,,,,,Pennsylvania,Female,,Some college but no degree,White,,City or urban community,,65,Democratic party,
R_DTg8aQEVkjwfBWp,,,,,,,6.5,5.1,9,,,,Texas,Female,,Bachelor degree,White,,City or urban community,,59,Democratic party,
R_3JLd2affjF2C3wl,,,,1,9,1,,,,,,,Mississippi,Female,,Associate degree,White,,Rural community,,29,Republican Party,
R_12b5x2bDbBJ1uSd,6,6.8,7.6,,,,,,,,,,Nj,Male,,Bachelor degree,White,,Suburban community,,50,Democratic party,
R_30qQHZVONd5Z7nX,,,,,,,,,,1,1,9,TX,Male,,Graduate degree,White,,Suburban community,,29,Democratic party,
R_2VHGDc9248JUO6F,,,,,,,,,,9,1,1,Nebraska,Female,,Associate degree,White,,Rural community,,33,Independent,
R_xlmbD3aFvuFC0uZ,2,7.5,8.5,,,,,,,,,,Nevada,Female,,Bachelor degree,White,,City or urban community,,27,Republican Party,
R_3387gZJnBSRdEyJ,,,,9,1,2.4,,,,,,,California,Female,,Some college but no degree,White,,Rural community,,65,Independent,
R_1QPzhngnOZVQN5n,,,,,,,,,,9,1.9,8.3,New Mexico,Female,,Graduate degree,White,,Suburban community,,51,Independent,
R_3NR4tBQ7s82XMAk,,,,,,,1,9,5.2,,,,Georgia,Female,,Bachelor degree,Black or African-American,,Rural community,,58,Democratic party,
R_3L84qzsjGiaV5AW,9,9,9,,,,,,,,,,NEW YORK,Female,,Bachelor degree,White,,City or urban community,,24,Independent,
R_C2J1duJzXBE215n,,,,1,7.5,4.9,,,,,,,VA,Female,,Bachelor degree,Black or African-American,,Suburban community,,33,Independent,
R_RxbDRfHClZ1raP7,,,,1,1,3.8,,,,,,,Virginia,Male,,Some college but no degree,White,,City or urban community,,24,"Republican Party,Independent",
R_uxGljJNaIz3fUOd,,,,,,,1,9,1,,,,north carolina,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,35,Democratic party,
R_3fUet4nEt8cmjUR,3.1,4.3,5.3,,,,,,,,,,New York,Female,,Bachelor degree,White,,Suburban community,,28,Republican Party,
R_2tlKT4K6eBqhoF5,,,,,,,,,,9,2,9,ca,Female,,Graduate degree,White,,City or urban community,,48,Democratic party,
R_Qb64TK5sKlhZO6t,,,,,,,1,9,7.5,,,,Georgia,Male,,Associate degree,Black or African-American,,Suburban community,,30,Republican Party,
R_31vMhCZHV58km1N,,,,9,4.5,8.1,,,,,,,Indiana,Female,,Bachelor degree,White,,Suburban community,,36,Republican Party,
R_1PTOoJWghAiR3X8,7.4,3.3,8,,,,,,,,,,Florida,Female,,Some college but no degree,"White,Black or African-American,Asian,Other (please specify):",Caribbean,"Suburban community,Other (please specify):",University,20,Democratic party,
R_eCLBAuHKUWVCmRj,,,,2,6.7,9,,,,,,,md,Male,,Graduate degree,White,,City or urban community,,28,Democratic party,
R_1jv1HZu7FtPycYy,,,,,,,,,,3.7,9,1,Tennessee,Female,,Bachelor degree,White,,Suburban community,,69,Independent,
R_2XchmjIxddBsrcK,,,,1,2.9,8.2,,,,,,,Minnesota,Female,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,36,Independent,
R_1gkDUhW0sEkAczm,9,2,1,,,,,,,,,,SC,Male,,Some college but no degree,White,,Suburban community,,54,Republican Party,
R_2ToDcho7jzOGxrP,,,,,,,5.9,5.1,4.7,,,,PA,Female,,Some college but no degree,White,,Rural community,,53,Republican Party,
R_28P9SAcapgacFX7,,,,,,,,,,8.9,1.4,3.4,North Carolina,Female,,Bachelor degree,Black or African-American,,City or urban community,,50,Independent,
R_OHbzJCOTEXV0lqh,,,,,,,5.5,5.6,5.7,,,,Florida,Female,,"High school degree or equivalent (e.g., GED)","Spanish, Hispanic, or Latino",,City or urban community,,45,Republican Party,
R_1QyF6y6wabmUbvU,1.7,5.1,3.9,,,,,,,,,,Idaho,Male,,Some college but no degree,White,,Suburban community,,34,Republican Party,
R_2wi7K8NjaFSOiCv,,,,,,,,,,7,2.9,8.2,Wisconsin,Female,,Graduate degree,White,,City or urban community,,31,Democratic party,
R_2QLgi3AtTQYJwQ3,,,,,,,,,,8.2,1.8,8.2,IL,Female,,Bachelor degree,White,,Rural community,,30,Democratic party,
R_2b1cYeYxeg2lhqH,,,,8.4,1.4,8.9,,,,,,,Colorado,Female,,Some college but no degree,White,,Rural community,,70,Republican Party,
R_OO3KfraiPDNHne9,,,,,,,4.8,6.3,4.1,,,,Washington,Male,,Bachelor degree,White,,Suburban community,,37,Independent,
R_1Ny8dQpVhnflvmO,6,4,8,,,,,,,,,,PA,Male,,Bachelor degree,White,,Suburban community,,44,Democratic party,
R_3edVD2HneC2or0m,,,,6.8,3.7,9,,,,,,,Indiana,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,18,Democratic party,
R_9uJyhE14V4msiZj,1.7,5,1.8,,,,,,,,,,Tennessee,Female,,"High school degree or equivalent (e.g., GED)","Spanish, Hispanic, or Latino,White",,Suburban community,,28,Democratic party,
R_2zCLPCVZWDMwQzr,,,,,,,4,3,9,,,,Texas,Male,,Bachelor degree,White,,Suburban community,,22,Libertarian Party,
R_3FIIDWqQpGSSFPy,,,,,,,,,,9,1,1,Texas,Female,,Associate degree,White,,Rural community,,48,Democratic party,
R_12ywfnySR8iuJQI,,,,,,,,,,5.9,9,6.8,pa,Female,,Some college but no degree,Black or African-American,,"City or urban community,Suburban community",,41,Democratic party,
R_2f1JMmfAeHBBtQg,5.5,7,9,,,,,,,,,,VA,Male,,Bachelor degree,White,,City or urban community,,26,Republican Party,
R_2CxNucbZOeyytzu,,,,7,9,9,,,,,,,Indiana,Female,,Associate degree,White,,Rural community,,29,Democratic party,
R_2alXQ30ReuAbxkX,,,,9,1,9,,,,,,,Illinois,Male,,Graduate degree,White,,Suburban community,,44,Democratic party,
R_1dvlELETQqOqhIy,,,,,,,8.3,3,9,,,,ca,Female,,Associate degree,White,,City or urban community,,23,Green Party,
R_31cnsb7BFHpVFWN,1,6.9,9,,,,,,,,,,Louisiana,Male,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,27,Republican Party,
R_6nWIC4ricTdoiEV,,,,,,,3.1,5.8,9,,,,DC,Female,,Bachelor degree,Black or African-American,,City or urban community,,35,Democratic party,
R_3q8s3aRZ7EYlqn2,,,,,,,,,,6,3.9,6.2,CA,Male,,Bachelor degree,White,,Suburban community,,46,Republican Party,
R_39Hzrq2epMPBDix,2.4,5.4,6.3,,,,,,,,,,florida,Female,,Bachelor degree,White,,Suburban community,,44,Republican Party,
R_2ScvWSQfdojbhIG,,,,,,,,,,9,3,9,Nevada,Male,,"High school degree or equivalent (e.g., GED)",Asian,,City or urban community,,35,Democratic party,
R_3Oiz44tCrEpk5PJ,,,,,,,1,3.6,7.8,,,,NC,Female,,Graduate degree,Black or African-American,,Suburban community,,32,Democratic party,
R_2aFsYQE2MRvzPdW,,,,8.5,2.9,7.5,,,,,,,Illinois,Male,,Graduate degree,White,,Rural community,,36,Republican Party,
R_2VxyqjGdMMhseao,,,,,,,,,,1,4.5,7,Florida,Female,,Some college but no degree,"Spanish, Hispanic, or Latino",,Suburban community,,50,Democratic party,
R_2TpJ4aNxaH9Qjwr,9,5,8,,,,,,,,,,GEOGIA,Female,,Some college but no degree,White,,Suburban community,,30,Democratic party,
R_3ktUkCidGcS5F7s,,,,3.9,5.1,6.3,,,,,,,MD,Female,,Some college but no degree,Black or African-American,,Suburban community,,34,Democratic party,
R_2S6xrAQgAyegg9V,,,,,,,1,5.9,9,,,,Michigan,Male,,Graduate degree,Black or African-American,,City or urban community,,30,Independent,
R_2WZImLhpZvBfuBB,1.7,9,5,,,,,,,,,,Washington,Female,,Some college but no degree,White,,Suburban community,,21,Republican Party,
R_29hKw6tnH8tHX7T,,,,,,,,,,7.1,1.6,9,New York,Female,,Some college but no degree,White,,Suburban community,,20,Democratic party,
R_1f3MZyn2N03rByl,,,,,,,1,1,5,,,,Colorado,Male,,Some college but no degree,"Spanish, Hispanic, or Latino,White",,Suburban community,,20,Independent,
R_QihsWFenngP0S0p,7,2,9,,,,,,,,,,Massachusetts,Male,,Bachelor degree,White,,Suburban community,,41,Republican Party,
R_3stWtdhZejmkq9b,,,,,,,,,,9,1,7,New Mexico,Female,,Associate degree,White,,Suburban community,,30,Democratic party,
R_1i4oljTqW6TeIvf,,,,1,9,9,,,,,,,New York,Female,,Bachelor degree,White,,City or urban community,,33,Democratic party,
R_3QPeyXRcIPuXObg,,,,,,,1,9,1,,,,missouri,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,38,Independent,
R_UE1ykYenO8Lvwkh,,,,6,3,8,,,,,,,virginia,Female,,Bachelor degree,White,,Rural community,,23,Republican Party,
R_2zViuQ2E3mOHTn5,,,,,,,,,,7.2,1.8,9,Michigan,Female,,Graduate degree,White,,City or urban community,,45,Democratic party,
R_25QSfefeb0u4Cjl,,,,7.2,3.4,8.1,,,,,,,Maryland,Male,,Bachelor degree,White,,Suburban community,,44,Republican Party,
R_3ExMXAZVc1uYEM6,6,2.8,7.1,,,,,,,,,,Florida,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,24,Republican Party,
R_DUXdBUM9K2VnbaN,,,,,,,6.1,7.4,8.4,,,,WASHINGTON,Male,,Bachelor degree,White,,Suburban community,,30,Libertarian Party,
R_2S9vWIfybkuTgYI,1,2.1,8,,,,,,,,,,pa,Female,,Associate degree,White,,Rural community,,57,Republican Party,
R_2qlSR1qkSP9pbX6,,,,,,,2.5,6.8,6.9,,,,oregon,Female,,Some college but no degree,White,,City or urban community,,42,Republican Party,
R_1gCGgl4pRWfpXwo,,,,1,9,9,,,,,,,Connecticut,Male,,Bachelor degree,White,,Suburban community,,29,Democratic party,
R_2CWdsNrWcbe1vK2,,,,,,,,,,7.1,5.1,6.8,NY,Female,,Associate degree,"Spanish, Hispanic, or Latino",,City or urban community,,,,
R_3haq3Ufh0W0H9Sz,8.5,1.8,3.3,,,,,,,,,,minnesota,Male,,Bachelor degree,White,,City or urban community,,41,Republican Party,
R_2DSU5aJQYVS0xZ3,9,2,4,,,,,,,,,,Minnesota,Female,,Some college but no degree,White,,Suburban community,,36,Democratic party,
R_2ZVntY5Tp491SB8,,,,,,,,,,1,9,9,Massachusetts,Female,,"High school degree or equivalent (e.g., GED)",Other (please specify):,portuguese,Suburban community,,27,Independent,
R_3G8JLUNQWzPkgDQ,,,,2.5,5.7,3.2,,,,,,,Tennessee,Female,,Some college but no degree,Asian,,Suburban community,,56,Republican Party,
R_DwKOPp0oMhue2RP,,,,,,,,,,8,5.5,8,Louisiana,Female,,Associate degree,Black or African-American,,Suburban community,,39,Democratic party,
R_3lriXhU8QFhYCth,,,,,,,1.6,1.6,8.1,,,,kentucky,Female,,Graduate degree,"White,Other (please specify):",,Suburban community,,33,Democratic party,
R_3rMbdR8RGzjoD0Y,,,,,,,,,,9,6.3,1.1,CA,Male,,Associate degree,Asian-American,,City or urban community,,26,Democratic party,
R_2bTov1THwI7Rshm,,,,,,,8,6.2,9,,,,NM,Female,,Some college but no degree,White,,City or urban community,,31,Independent,
R_2QtGsZDsLc3dzF3,,,,1,9,1,,,,,,,Ohio,Female,,Some college but no degree,White,,City or urban community,,30,Republican Party,
R_2tDctTHu3pXKuVB,7.1,4.4,7.1,,,,,,,,,,Mississippi,Female,,Associate degree,White,,Rural community,,46,Republican Party,
R_24piyG70jtorACX,2,7,9,,,,,,,,,,Florida,Male,,Graduate degree,White,,City or urban community,,34,Republican Party,
R_BS7yxe1Vf7ViDPb,,,,,,,1.9,9,4.7,,,,New Jersey,Male,,Bachelor degree,"Spanish, Hispanic, or Latino",,City or urban community,,28,Republican Party,
R_2TNno0spQzDxpAI,,,,9,1,1.7,,,,,,,Wisconsin,Male,,Some college but no degree,White,,Suburban community,,26,Republican Party,
R_u2lcLWZf2n85uCZ,,,,,,,1,9,7,,,,WI,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,40,Democratic party,
R_3iQLHxdhtRWdYpT,,,,,,,,,,6.6,4.5,5.7,CA,Female,,Bachelor degree,Asian,,Suburban community,,24,Republican Party,
R_2EFvgoEvLUi0kT7,,,,,,,9,9,8,,,,NJ,Female,,"High school degree or equivalent (e.g., GED)",White,,"Suburban community,Rural community",,28,Democratic party,
R_1F4UkAgdY2ZzvaF,,,,8,3,8,,,,,,,Nevada,Female,,Some college but no degree,White,,Suburban community,,32,Democratic party,
R_2rOZoGMQfx43k0a,,,,,,,,,,1,9,1.8,AL,Male,,Associate degree,Asian,,City or urban community,,34,Republican Party,
R_3KCPV0hbq42TeIN,6.5,9,8,,,,,,,,,,Arkansas,Male,,"High school degree or equivalent (e.g., GED)",Black or African-American,,Suburban community,,37,Independent,
R_1l4CdgxPkLXQenQ,,,,,,,7.1,7.6,6.4,,,,ny,Female,,Bachelor degree,Black or African-American,,City or urban community,,26,Democratic party,
R_2BeBLS6m0ofuXek,8.6,7,7,,,,,,,,,,California,Female,,Some college but no degree,White,,Suburban community,,43,Republican Party,
R_1dz9eZO2eDxKGZG,,,,6.5,3,6.1,,,,,,,IL,Female,,Bachelor degree,Other (please specify):,Mixed,Suburban community,,48,Other (please specify):,none
R_1KkIimhFlAZIN9S,,,,,,,,,,1,2.9,7,KANSAS,Male,,Some college but no degree,White,,City or urban community,,44,Independent,
R_25GUxVVYTjT0DgF,,,,,,,,,,8,1,7,Arizona,Female,,Some college but no degree,White,,Suburban community,,54,Democratic party,
R_2dsZHyN3LD5P8bf,6.7,2.4,7.9,,,,,,,,,,FL,Female,,Bachelor degree,"Asian,Asian-American",,Suburban community,,24,Independent,
R_3ir7O4soLB5mluJ,,,,8.2,2.9,9,,,,,,,CT,Female,,Bachelor degree,White,,Suburban community,,29,Libertarian Party,
R_31m7O9jEWkgekhI,,,,,,,1,9,1,,,,Michigan,Male,,Bachelor degree,White,,City or urban community,,44,Democratic party,
R_bPklPBPLn8kBBTz,,,,,,,,,,5,1,9,FL,Male,,Some college but no degree,White,,Suburban community,,64,Independent,
R_31gupPIPOI9G9sQ,,,,8.3,5.1,9,,,,,,,california,Male,,Graduate degree,White,,Suburban community,,54,Independent,
R_2373S2sutovylJ7,6.1,4.8,5.6,,,,,,,,,,ohio,Male,,"High school degree or equivalent (e.g., GED)",Black or African-American,,City or urban community,,25,Independent,
R_3m7WlKjoXdcPqK4,,,,,,,1.1,9,7.8,,,,New York,Female,,Bachelor degree,White,,City or urban community,,41,Democratic party,
R_80lPWYPidKAV6lX,1,4,6,,,,,,,,,,Va,Female,,Associate degree,White,,Suburban community,,48,Republican Party,
R_NWQpNy8WV0dCG3v,,,,,,,9,8.9,9,,,,georgia,Male,,Bachelor degree,White,,Suburban community,,65,Libertarian Party,
R_28Im8wDf4Vygdcn,,,,7.8,4.1,8,,,,,,,CT,Male,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,33,Libertarian Party,
R_1jl9N86hV2jjl6p,,,,,,,,,,9,9,9,MA,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,47,Republican Party,
R_1gb6E4ajaEl0wk6,,,,,,,1,9,4.9,,,,Maryland,Female,,Some college but no degree,Black or African-American,,Suburban community,,29,Democratic party,
R_2v7Il1kPYAJucC7,2.2,7,4.9,,,,,,,,,,North Carolina,Female,,Bachelor degree,White,,Suburban community,,31,Republican Party,
R_1pJxHan9QBTRW8d,,,,,,,,,,9,1,8.9,Indiana,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,48,Republican Party,
R_2fu92nWOCpkLNyV,,,,1,9,2.9,,,,,,,Michigan,Female,,Bachelor degree,White,,City or urban community,,25,Independent,
R_2OQ1BDXOjwD3ODq,,,,,,,3.8,4.6,6.4,,,,Georgia,Female,,Associate degree,White,,City or urban community,,37,Democratic party,
R_2WUMGo3gQtK3I5c,,,,2.2,5.1,2.5,,,,,,,CA,Male,,Some college but no degree,American Indian or Alaskan Native,,City or urban community,,24,Democratic party,
R_1lyp8kNvQRbn9IY,,,,,,,,,,4,5.7,2.8,Ma,Male,,Some college but no degree,White,,City or urban community,,29,Independent,
R_xtuKRLA42yNbXix,6.3,6.2,8.4,,,,,,,,,,PA,Female,,Bachelor degree,White,,City or urban community,,23,Democratic party,
R_1gBl1bEu8zeZk6g,,,,,,,,,,9,1,1.9,California,Male,,Graduate degree,White,,City or urban community,,29,Independent,
R_10Uwk9yrEirUhTX,8,3,6.5,,,,,,,,,,Arkansas,Female,,Bachelor degree,White,,Suburban community,,33,Democratic party,
R_29s3CjJ7m6Jqz8b,,,,5.5,7.5,9,,,,,,,Idaho,Female,,Some college but no degree,White,,Suburban community,,23,Democratic party,
R_2BsQ1wxc7WrMxq5,,,,,,,4,5,6.7,,,,IL,Male,,Some college but no degree,White,,Suburban community,,22,Republican Party,
R_12Jwld85pcgmloj,,,,5.9,2.8,6.2,,,,,,,tx,Female,,Some college but no degree,White,,Suburban community,,32,Independent,
R_4OD1BQjGK6tDeV3,,,,,,,9,9,9,,,,Alaska,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,29,Independent,
R_1hF4ex4UIiRzsqZ,,,,,,,,,,4.3,6.5,5.2,texas,Male,,Bachelor degree,Black or African-American,,City or urban community,,47,Democratic party,
R_3jVrbphwp0xSnmh,5.2,1,5.1,,,,,,,,,,Ny,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,33,Democratic party,
R_qUiSLoOmS2V0LQZ,,,,,,,,,,9,2.9,8.1,Oregon,Male,,Some college but no degree,Asian,,City or urban community,,53,Democratic party,
R_2EETPfoQkzBRDyY,9,2.3,7.9,,,,,,,,,,CT,Male,,Bachelor degree,White,,Suburban community,,28,Republican Party,
R_2YYdcNVY1fIp4M1,,,,,,,3.1,4.2,2.1,,,,RI,Female,,Bachelor degree,White,,Suburban community,,24,Green Party,
R_3OiFc0t3aGrIu9y,,,,7.4,7.5,7.6,,,,,,,massachusetts,Male,,Graduate degree,White,,City or urban community,,28,Democratic party,
R_xi91zyZFLxu2mNX,,,,,,,,,,1,1,9,MI,Female,,Associate degree,White,,Rural community,,53,Democratic party,
R_scbFS6xpImT5Bfz,,,,,,,1,9,1,,,,GA,Female,,Associate degree,White,,Suburban community,,35,Republican Party,
R_2bZebKbwYzyvp0n,,,,8,3,9,,,,,,,California,Female,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,27,Democratic party,
R_x4bMp5uNLDE1T2N,7,8,9,,,,,,,,,,TEXAS,Female,,Some college but no degree,White,,City or urban community,,37,Independent,
R_22kL35E3cJnLmIg,,,,9,1,5.1,,,,,,,Ohio,Female,,"High school degree or equivalent (e.g., GED)",White,,City or urban community,,24,Independent,
R_2vcBCEgwOQtACXk,,,,,,,,,,1.8,7.2,2.9,Massachusetts,Female,,Graduate degree,White,,City or urban community,,26,Democratic party,
R_0eqEvpVXigRy74d,7.5,4.5,6,,,,,,,,,,Louisiana,Female,,Bachelor degree,"Spanish, Hispanic, or Latino,White",,Rural community,,60,Democratic party,
R_2who0RmVoesdwJ7,,,,,,,9,9,9,,,,TN,Female,,"High school degree or equivalent (e.g., GED)",Black or African-American,,City or urban community,,54,Republican Party,
R_2OPHbD1uU5TODWG,,,,,,,5,5,4.9,,,,georgia,Female,,Some college but no degree,White,,Rural community,,42,Independent,
R_3G0KvU5AFKNmAos,,,,,,,,,,9,1,1,NY,Female,,Bachelor degree,White,,City or urban community,,22,"Democratic party,Independent",
R_3p0aECJA4w6p7c2,,,,9,1,7,,,,,,,florida,Female,,Bachelor degree,"Spanish, Hispanic, or Latino",,Suburban community,,35,Democratic party,
R_1qba5Vp5SqqIfxh,1,9,1,,,,,,,,,,NY,Female,,Associate degree,White,,Suburban community,,40,Republican Party,
R_1GKb2mg2e0XERIp,1,3.2,8.1,,,,,,,,,,Iowa,Male,,Some college but no degree,White,,Suburban community,,37,Democratic party,
R_2qxWhvZZguVcmXs,,,,3.1,8.1,9,,,,,,,Wisconsin,Female,,Bachelor degree,White,,Rural community,,35,Libertarian Party,
R_7TI5Chusl7MxCil,,,,,,,1,9,7.4,,,,North Carolina,Male,,Graduate degree,White,,City or urban community,,30,Democratic party,
R_1Q4UJpqx85BfCUF,1,9,1,,,,,,,,,,Vermont,Male,,Associate degree,White,,Suburban community,,44,Independent,
R_2Cg4s8wN47Pn126,,,,,,,,,,4.4,6.7,6.3,Georgia,Female,,Graduate degree,Asian,,Suburban community,,37,Democratic party,
R_UH08IXSjpWa249j,,,,,,,1.4,5.1,4,,,,Colorado,Male,,Some college but no degree,White,,Suburban community,,46,Republican Party,
R_2uQb9NKZaHb2G80,,,,,,,,,,2,5,6,texas,Female,,Some college but no degree,"Spanish, Hispanic, or Latino",,City or urban community,,33,Democratic party,
R_2YAoMxqukcC36uM,5,9,9,,,,,,,,,,North Dakota,Female,,Some college but no degree,White,,City or urban community,,30,Democratic party,
R_27NCMyerbrCtRUs,,,,,,,5.1,5.1,5.1,,,,CA,Female,,Some college but no degree,American Indian or Alaskan Native,,City or urban community,,29,Republican Party,
R_3eaypCEfYRJXpRg,1.7,5.2,3.8,,,,,,,,,,Florida,Male,,Some college but no degree,White,,Suburban community,,34,Libertarian Party,
R_3qyP404S9UTdeRv,,,,,,,,,,9,1.9,7.1,Virgina,Male,,Bachelor degree,White,,Suburban community,,43,Independent,
R_PGPnPPxFgi6nwB3,,,,6,9,9,,,,,,,Texas,Female,,Some college but no degree,White,,City or urban community,,24,Libertarian Party,
R_SVjLm3nwIB21oLD,,,,,,,6.2,5,7,,,,VA,Female,,Graduate degree,White,,Rural community,,61,Democratic party,
R_3erI5AG8erqikb0,6.4,4.1,5.7,,,,,,,,,,florida,Male,,Some college but no degree,White,,Suburban community,,51,Republican Party,
R_PMU5lzpHEVyFRGF,,,,,,,,,,1,9,5.5,California,Male,,Bachelor degree,Asian,,City or urban community,,29,Democratic party,
R_1mLDc40D50xNmcT,,,,,,,,,,2.2,7,2.3,Maryland,Female,,Bachelor degree,White,,Suburban community,,32,Democratic party,
R_Zn4yNtr5TYvqu09,,,,7.3,9,2.6,,,,,,,va,Male,,Graduate degree,White,,Suburban community,,36,Other (please specify):,not relevant to survey
R_1nVGzezhX7ehqFZ,,,,1,9,1,,,,,,,NJ,Male,,Bachelor degree,White,,Suburban community,,39,Republican Party,
R_2YtwkRAdabveLUW,,,,,,,,,,5.1,9,2.8,alabama,Female,,Associate degree,White,,Suburban community,,41,Republican Party,
R_1I4Mnlplj5bNL0G,,,,,,,9,2,9,,,,indiana,Female,,Bachelor degree,White,,Suburban community,,53,Republican Party,
R_2To7lPejxys4eQO,2,6.1,7.1,,,,,,,,,,Oklahoma,Male,,"High school degree or equivalent (e.g., GED)","Spanish, Hispanic, or Latino,White,Asian-American",,City or urban community,,26,Independent,
R_1gT5mbgZhmIMVvh,,,,,,,2,4.9,7.4,,,,Florida,Male,,Graduate degree,White,,Suburban community,,28,Democratic party,
R_2ZVOcyghsutSjTE,,,,,,,,,,9,2.1,2.2,Wyoming,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,67,Democratic party,
R_2OO2DcUnxglfv1H,,,,,,,1,7.9,3.4,,,,sc,Male,,"High school degree or equivalent (e.g., GED)",White,,Suburban community,,40,Democratic party,
R_2rHMif94XJEHtaj,,,,1,9,1.6,,,,,,,Colorado,Female,,Some college but no degree,White,,City or urban community,,29,Democratic party,
R_uwfnHOjXHi20DaV,,,,8.1,2.5,7.5,,,,,,,Pennsylvania,Female,,"High school degree or equivalent (e.g., GED)",White,,Rural community,,69,Democratic party,
R_22zx8OyNde17dyZ,,,,,,,,,,1.9,9,9,New York,Female,,Bachelor degree,White,,Rural community,,58,Republican Party,
R_2BgMHEqeqhx7Wiq,8.6,1.2,4.8,,,,,,,,,,MN,Other (please specify):,,Some college but no degree,White,,Suburban community,,22,Democratic party,
R_3sb25TqcFpYyH75,,,,,,,5.5,7,6,,,,New York,Male,,Graduate degree,Asian-American,,Suburban community,,28,Democratic party,
